"","id","block","refClass","appliance","pct_goal","rounded","state","family","state_avg","plan","value","change","state_dif"
"84",74440,1,"kWh","TOTAL","15%","Rounded","California",23000,19458,"plan2",17000,-6000,-2458
"85",74440,2,"kWh","AC","10%","Not Rounded","Colorado",697,498,"plan1",300,-397,-198
"86",74440,2,"kWh","AC","10%","Not Rounded","Colorado",697,498,"plan2",300,-397,-198
"87",74440,2,"kWh","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan1",15000,-3052,-1411
"88",74440,2,"kWh","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan2",15000,-3052,-1411
"89",74440,2,"kWh","WATER","10%","Not Rounded","Colorado",11667,5832,"plan1",5000,-6667,-832
"90",74440,2,"kWh","WATER","10%","Not Rounded","Colorado",11667,5832,"plan2",6000,-5667,168
"91",74440,2,"kWh","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan1",1000,-370,-142
"92",74440,2,"kWh","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan2",1000,-370,-142
"93",74440,2,"kWh","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan1",7000,-982,348
"94",74440,2,"kWh","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan2",6000,-1982,-652
"95",74440,2,"kWh","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan1",28300,-11468,-2235
"96",74440,2,"kWh","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan2",28300,-11468,-2235
"97",74709,1,"kWh","AC","10%","Not Rounded","Colorado",697,498,"plan1",791,94,293
"98",74709,1,"kWh","AC","10%","Not Rounded","Colorado",697,498,"plan2",700,3,202
"99",74709,1,"kWh","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan1",16500,-1552,89
"100",74709,1,"kWh","HEAT","10%","Not Rounded","Colorado",18052,16411,"plan2",18000,-52,1589
"101",74709,1,"kWh","WATER","10%","Not Rounded","Colorado",11667,5832,"plan1",10200,-1467,4368
