"id","block","refClass","appliance","pct_goal","rounded","state","calc","edu","els","pct","family","state_avg","plan","value"
"s2_104",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,1000,1142,"plan1",1000
"s2_104",1,"Percentage","REFRIG","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,1000,1142,"plan2",1000
"s2_104",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,8000,6652,"plan1",6000
"s2_104",1,"Percentage","OTHER","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,8000,6652,"plan2",8000
"s2_104",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,40000,30535,"plan1",36000
"s2_104",1,"Percentage","TOTAL","10%","Rounded","Colorado","Calculator","Graduate degree",0.5,0.1,40000,30535,"plan2",36000
"s2_104",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,6573,4249,"plan1",5216
"s2_104",2,"Percentage","AC","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,6573,4249,"plan2",4395
"s2_104",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,6118,5099,"plan1",5118
"s2_104",2,"Percentage","HEAT","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,6118,5099,"plan2",3939
"s2_104",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,5257,4396,"plan1",4257
"s2_104",2,"Percentage","WATER","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,5257,4396,"plan2",5257
"s2_104",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,2639,1318,"plan1",1639
"s2_104",2,"Percentage","REFRIG","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,2639,1318,"plan2",2639
"s2_104",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,8459,7883,"plan1",8459
"s2_104",2,"Percentage","OTHER","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,8459,7883,"plan2",8459
"s2_104",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,29046,22945,"plan1",24689
"s2_104",2,"Percentage","TOTAL","15%","Not Rounded","Texas","Calculator","Graduate degree",0.5,0.15,29046,22945,"plan2",24689
"s2_105",1,"kWh","AC","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,7000,4249,"plan1",3500
"s2_105",1,"kWh","AC","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,7000,4249,"plan2",3000
"s2_105",1,"kWh","HEAT","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,6000,5099,"plan1",4500
"s2_105",1,"kWh","HEAT","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,6000,5099,"plan2",4000
"s2_105",1,"kWh","WATER","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,5000,4396,"plan1",4000
"s2_105",1,"kWh","WATER","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,5000,4396,"plan2",3500
"s2_105",1,"kWh","REFRIG","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,3000,1318,"plan1",2000
"s2_105",1,"kWh","REFRIG","15%","Rounded","Texas","Calculator","Some college",0.125,0.15,3000,1318,"plan2",1300
